epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,135.171,0.70425,0.56616,0.90433,0.8575,0.88397,0.88527,0.73481,0.60366,0.52809,0.9056,0.004654,0.004654,0.004654
56,137.615,0.70542,0.56181,0.90536,0.854,0.88352,0.88215,0.72511,0.62876,0.54694,0.91761,0.004555,0.004555,0.004555
57,139.823,0.68068,0.54622,0.89661,0.86633,0.88217,0.88524,0.73926,0.6016,0.53548,0.90775,0.004456,0.004456,0.004456
58,142.54,0.69004,0.55222,0.90195,0.866,0.87239,0.88239,0.73264,0.60896,0.52882,0.91071,0.004357,0.004357,0.004357
59,144.899,0.69735,0.55649,0.90147,0.87093,0.87431,0.88026,0.73475,0.6089,0.52939,0.91056,0.004258,0.004258,0.004258
60,147.102,0.68517,0.5536,0.90593,0.86361,0.87133,0.88145,0.73753,0.60566,0.52285,0.90382,0.004159,0.004159,0.004159
61,149.459,0.68897,0.55495,0.89998,0.87118,0.87319,0.88808,0.74496,0.60049,0.52147,0.90388,0.00406,0.00406,0.00406
62,151.679,0.70754,0.56614,0.90792,0.86422,0.88126,0.89012,0.7509,0.59213,0.51539,0.90377,0.003961,0.003961,0.003961
63,153.908,0.67662,0.5516,0.8933,0.87128,0.87269,0.88721,0.74595,0.58809,0.52083,0.90081,0.003862,0.003862,0.003862
64,156.242,0.68105,0.54964,0.89823,0.86832,0.86998,0.88746,0.73995,0.60651,0.51564,0.90366,0.003763,0.003763,0.003763
65,158.434,0.67637,0.54821,0.89787,0.86071,0.88713,0.88867,0.74385,0.59574,0.51131,0.90236,0.003664,0.003664,0.003664
66,160.655,0.66581,0.54001,0.89549,0.86037,0.87404,0.89139,0.74302,0.6013,0.51545,0.90459,0.003565,0.003565,0.003565
67,163.009,0.66466,0.53538,0.89509,0.84701,0.88939,0.89125,0.74582,0.59493,0.51447,0.90165,0.003466,0.003466,0.003466
68,165.378,0.66185,0.53238,0.89782,0.85876,0.87838,0.88305,0.7389,0.60401,0.51859,0.91107,0.003367,0.003367,0.003367
69,167.713,0.66736,0.534,0.89979,0.85151,0.88894,0.88514,0.75021,0.57696,0.51804,0.90265,0.003268,0.003268,0.003268
70,170.074,0.6663,0.54527,0.89466,0.86547,0.8772,0.89182,0.74618,0.58053,0.50899,0.90491,0.003169,0.003169,0.003169
71,172.458,0.66366,0.53447,0.89253,0.86935,0.87494,0.89666,0.75427,0.57141,0.50569,0.8982,0.00307,0.00307,0.00307
72,174.828,0.64983,0.53141,0.89016,0.86774,0.87178,0.89084,0.75475,0.56565,0.50699,0.89278,0.002971,0.002971,0.002971
73,177.281,0.65102,0.53158,0.89027,0.86608,0.87585,0.89135,0.75147,0.56389,0.5202,0.89219,0.002872,0.002872,0.002872
74,179.635,0.63944,0.52259,0.88738,0.87379,0.87269,0.88357,0.7437,0.57294,0.51669,0.89539,0.002773,0.002773,0.002773
75,181.961,0.66095,0.53949,0.89038,0.87103,0.87133,0.88143,0.74177,0.58926,0.52432,0.89997,0.002674,0.002674,0.002674
76,184.3,0.65074,0.5308,0.88924,0.87325,0.87133,0.88821,0.75274,0.56821,0.49767,0.89694,0.002575,0.002575,0.002575
77,186.494,0.63727,0.52346,0.88262,0.86192,0.87923,0.88661,0.74982,0.57743,0.5073,0.90148,0.002476,0.002476,0.002476
78,188.703,0.63894,0.52758,0.89647,0.86839,0.88176,0.88742,0.7489,0.59002,0.51408,0.91206,0.002377,0.002377,0.002377
79,190.922,0.64589,0.52737,0.89364,0.87894,0.87359,0.88961,0.75059,0.5718,0.50625,0.90367,0.002278,0.002278,0.002278
80,193.153,0.64051,0.52659,0.88994,0.87647,0.87447,0.89335,0.75678,0.56095,0.49564,0.89526,0.002179,0.002179,0.002179
81,195.504,0.62236,0.52429,0.89021,0.87476,0.8754,0.89218,0.76014,0.55691,0.49522,0.89218,0.00208,0.00208,0.00208
82,197.88,0.62374,0.51272,0.89003,0.86598,0.89074,0.88966,0.75966,0.55164,0.49899,0.88978,0.001981,0.001981,0.001981
83,200.079,0.61932,0.51703,0.88238,0.86895,0.8763,0.88903,0.75501,0.54853,0.49579,0.88994,0.001882,0.001882,0.001882
84,202.29,0.62786,0.52458,0.88731,0.86646,0.8772,0.88962,0.756,0.55105,0.49454,0.88931,0.001783,0.001783,0.001783
85,204.636,0.62819,0.5225,0.88687,0.85633,0.89165,0.88916,0.75838,0.55091,0.49382,0.89073,0.001684,0.001684,0.001684
86,206.827,0.61604,0.51695,0.88323,0.86613,0.88036,0.8923,0.7614,0.54463,0.48946,0.89157,0.001585,0.001585,0.001585
87,209.214,0.62256,0.51026,0.88269,0.87298,0.875,0.89292,0.76344,0.546,0.48793,0.88798,0.001486,0.001486,0.001486
88,211.456,0.62108,0.51408,0.88005,0.86528,0.87858,0.89421,0.75947,0.54587,0.48752,0.88689,0.001387,0.001387,0.001387
89,213.664,0.61459,0.50722,0.88241,0.86773,0.88036,0.89522,0.76076,0.55122,0.48339,0.88759,0.001288,0.001288,0.001288
90,216.002,0.61611,0.50503,0.88844,0.85363,0.893,0.89238,0.76409,0.54815,0.48804,0.88979,0.001189,0.001189,0.001189
91,219.945,0.60114,0.5208,0.88674,0.85309,0.89394,0.89473,0.76311,0.55127,0.48599,0.89311,0.00109,0.00109,0.00109
92,222.015,0.58711,0.49934,0.88596,0.86901,0.8776,0.89727,0.76299,0.55681,0.49488,0.89459,0.000991,0.000991,0.000991
93,224.064,0.58752,0.49524,0.8801,0.86746,0.87165,0.89763,0.76107,0.55063,0.48932,0.89373,0.000892,0.000892,0.000892
94,226.112,0.57163,0.49059,0.87834,0.8626,0.88126,0.89702,0.76521,0.55395,0.49123,0.89707,0.000793,0.000793,0.000793
95,228.174,0.56749,0.48798,0.8777,0.86832,0.87527,0.89514,0.76553,0.54698,0.48221,0.8907,0.000694,0.000694,0.000694
96,230.231,0.56047,0.48365,0.88067,0.86882,0.87612,0.89859,0.76838,0.54352,0.48234,0.88856,0.000595,0.000595,0.000595
97,232.291,0.56834,0.48614,0.87649,0.86731,0.87642,0.89698,0.76361,0.54366,0.48385,0.89006,0.000496,0.000496,0.000496
98,234.337,0.56874,0.48509,0.87029,0.86446,0.88112,0.89659,0.76557,0.53382,0.47832,0.88813,0.000397,0.000397,0.000397
99,236.397,0.55131,0.48263,0.87104,0.86823,0.8781,0.89559,0.76696,0.52943,0.47693,0.88705,0.000298,0.000298,0.000298
100,238.616,0.55199,0.48007,0.86559,0.86913,0.87675,0.8957,0.76825,0.52793,0.47568,0.88462,0.000199,0.000199,0.000199
