epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,220.404,0.40864,0.4156,0.84639,0.93316,0.92571,0.91951,0.84117,0.39368,0.37792,0.83988,0.00657963,0.00657963,0.00657963
82,223.083,0.41272,0.42815,0.85014,0.93239,0.92696,0.92457,0.84624,0.39286,0.39175,0.85,0.0065055,0.0065055,0.0065055
83,225.804,0.41309,0.42829,0.8494,0.9359,0.92335,0.90997,0.83501,0.38646,0.36962,0.8489,0.00643101,0.00643101,0.00643101
84,228.579,0.40576,0.41842,0.84551,0.93549,0.92571,0.92013,0.83855,0.38938,0.37914,0.83908,0.00635617,0.00635617,0.00635617
85,231.25,0.39949,0.40793,0.84082,0.93315,0.92182,0.91895,0.83642,0.39528,0.38595,0.84482,0.00628101,0.00628101,0.00628101
86,233.932,0.41025,0.4222,0.84493,0.9326,0.92217,0.91985,0.83892,0.39571,0.38645,0.84225,0.00620555,0.00620555,0.00620555
87,236.609,0.40752,0.42961,0.84282,0.9345,0.92571,0.92435,0.85834,0.36825,0.36905,0.83753,0.00612981,0.00612981,0.00612981
88,239.276,0.41258,0.43543,0.85291,0.93597,0.92689,0.92904,0.84445,0.41799,0.36218,0.84568,0.0060538,0.0060538,0.0060538
89,241.948,0.40377,0.41712,0.84341,0.93437,0.9316,0.92105,0.83332,0.43687,0.38444,0.8448,0.00597754,0.00597754,0.00597754
90,244.637,0.40018,0.40854,0.84252,0.9365,0.92925,0.919,0.84256,0.40811,0.3636,0.84348,0.00590105,0.00590105,0.00590105
91,247.411,0.4049,0.43071,0.8453,0.93538,0.92925,0.92207,0.84223,0.38755,0.35159,0.83545,0.00582435,0.00582435,0.00582435
92,250.091,0.39693,0.42207,0.83892,0.93654,0.92453,0.92417,0.85093,0.36786,0.34825,0.83079,0.00574746,0.00574746,0.00574746
93,252.774,0.39206,0.41121,0.8348,0.93202,0.92158,0.92526,0.84501,0.38428,0.37311,0.83513,0.0056704,0.0056704,0.0056704
94,255.45,0.39992,0.40672,0.84306,0.9347,0.92453,0.92693,0.85159,0.38567,0.36621,0.8348,0.00559318,0.00559318,0.00559318
95,258.128,0.40277,0.41011,0.84413,0.93413,0.92335,0.92489,0.85761,0.36405,0.36131,0.83611,0.00551584,0.00551584,0.00551584
96,260.788,0.39307,0.39484,0.84369,0.93345,0.92629,0.92735,0.85359,0.379,0.35507,0.83669,0.00543837,0.00543837,0.00543837
97,263.651,0.40627,0.40383,0.83708,0.93331,0.92417,0.91882,0.84145,0.40278,0.36298,0.84144,0.00536081,0.00536081,0.00536081
98,266.312,0.39724,0.41349,0.84113,0.93426,0.92689,0.92489,0.84964,0.37159,0.35932,0.83721,0.00528318,0.00528318,0.00528318
